Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",0,10,2.8541953669991926,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.5457246000005398,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.7135902430018177,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.028445638999983203,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.24753557599979104,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.7090113730009762,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.48639358499713126,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.5084451149996312,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.1822428170016792,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.28408074600156397,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.2834160439997504,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.6185041270000511,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.15541280999968876,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.8838803869984986,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.2847824300006323,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.03966182099975413,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.7363837869997951,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.1500319379993016,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.14977397000257042,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.736894030997064,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.5184341310014133,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.11134129999845754,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.030093774999841116,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3946030820006854,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.3017815419989347,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.3990477360021032,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.02040110499729053,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.4735228210010973,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.5894474439992337,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3753847859989037,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.05254852700090851,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.6151612979992933,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.34367626899984316,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.04932388700035517,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.47581147700111615,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.2521093530012877,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.22845290599798318,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.27369759599969257,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.1591152629989665,0,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.04169248700054595,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.7436705850013823,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.1330804720018932,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.1442760880017886,0,C,1,8,YR,BLACK,Yellow Circle
