Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",2,20,0.2878043629976746,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,20,0.314013178000896,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,20,0.217184674999327399,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,10,0.29271859599716845,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,10,0.25200756000270485,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,10,0.2667427210016758,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,20,0.34518588000076124,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,0,0.26463165099945036,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,10,0.24609989900005166,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,10,0.26311322899916559,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.2712760969986848,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3393968350022624,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,0,0.32520750799711095,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,0,0.31311441400134936,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,0,0.24452241400265484,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3222909689983353,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.37758726900070906,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,0,0.2762920600017824,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,0,0.41943614199804142,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,20,0.3345089810022037,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,10,0.2594842230010254,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,0,0.29664949100205558,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3817739479995507,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,0,0.29122222700045677,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,20,0.3258023050000193,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3086831940011762,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,20,0.31091536799937603,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,20,0.40694673699958366,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,0,0.2889710600004182,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,10,0.36750508799951058,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.2624860389971873,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,20,0.44682929999931366,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,20,0.390259437998494832,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,0,0.4241361979994399,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,10,0.36246661800105358,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,10,0.2812575580003904,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.2980432999999903,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,20,0.36205202399968402,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,20,0.33825681600009557,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,0,0.30186934299982386,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,10,0.32156095399981132,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,10,0.2614833369992557,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",2,10,0.30791628799957107,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.38306002400204306,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.2932197469992389,1,C,1,8,RY,BLACK,Red Circle
"[255, 0, 0]",0,10,0.32451683700099238,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,10,0.310586002000724,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,10,0.2928449680019403,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",2,20,0.39665886999835493,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.29048171200038632,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,0,0.3556212680012104,1,C,1,8,RY,BLACK,Red Circle
"[255, 255, 0]",0,20,0.29349245100285043,1,C,1,8,RY,BLACK,Red Circle
