Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",2,10,0.3078440340002417,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.2945080240001262,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.3318790380003338,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.4029159089992463,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.3154764269979787,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.30638255600308185,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.327194489999848884,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.3968635599997651,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.2978734970019141,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.347567089000775,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.30733239599806257,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.30245523600053275,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.3044607130014629,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.376944315001514,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.31314287899885676,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.280710302999767,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.34510168999937014,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.39933652200177312,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.31467532699936419,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.35029420399831724,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.310918996001099,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.29069103499667835,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.32203656899917405,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.37919709300252725,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.30156935500225518,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.303468410999426851,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.34837131500217947,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.372007373998902,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.28880195999957505,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.36854732300006435,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.34247332600152,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.323869841000007,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.31032446099779918,1,C,1,8,RY,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.38207828600140056,1,C,1,8,RY,BLACK,Yellow Circle
