Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",2,20,0.3523575139998284,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.23547986300106277,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,10,0.32012993700272636,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3592768649988575,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4584523759990989,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.3916404660005064,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3825258089999843,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3708155619975587,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4098294330017234,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.36370724899761262,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,10,0.3421118760028039,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,10,0.36413303199823713,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,20,0.3865830269983853,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,20,0.3376438909985591,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3309267260011111,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.31512907099994482,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3265405680015683,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.31567411799833644,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.31548224900019704,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.31528997399826767,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3265306549984089,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,0,0.3157432520006259,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3455929429985408,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,0,0.31551596499743755,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,20,0.34592730199938524,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,10,0.3265197049992858,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.3158119309996255,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.326685295001167106,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3377500060030725,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",2,0,0.3153803150006861,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,0,0.3151965280022705,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3456022190003132,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3262848159996793,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.33719615199815598,1,C,1,8,YR,BLACK,Red Circle
"[255, 255, 0]",0,0,0.3157986489990144,1,C,1,8,YR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.33036038000218105,1,C,1,8,YR,BLACK,Red Circle
