Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",0,10,0.3761953669991926,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3607246000005398,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.3755902430018177,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.375445638999983203,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.36053557599979104,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.3900113730009762,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.39039358499713126,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.3904451149996312,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.3902428170016792,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.39008074600156397,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.3754160439997504,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3605041270000511,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.36041280999968876,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.3608803869984986,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.3607824300006323,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.37566182099975413,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.3753837869997951,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3600319379993016,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.37577397000257042,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.390894030997064,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3604341310014133,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.39034129999845754,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.390093774999841116,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.3606030820006854,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.3757815419989347,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.3750477360021032,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.37540110499729053,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.3905228210010973,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.3904474439992337,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3603847859989037,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.38854852700090851,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.3971612979992933,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.41967626899984316,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.37332388700035517,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.36781147700111615,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.4201093530012877,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.37345290599798318,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.36769759599969257,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.4051152629989665,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.40369248700054595,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.3676705850013823,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.4190804720018932,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.4032760880017886,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.38292953600207693,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.4340703749972745,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.3328167910000193,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.4564675770001486,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.2918388940006844,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.4778072650000977,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.3653132510011492,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.2948879630009469,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.43909262600025977,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.31230618100057472,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.38752942200083635,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,10,0.3346238139999332,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.44305657699980657,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.2930214550010569,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.49440640400061966,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.35287065899861045,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.29671893299857038,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.44171549799933564,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.32989052100051777,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.3898403929977503,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.35133470100178965,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.47552415399914025,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.2952905850005045,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.49671587799646659,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.33905611900004442,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.28335662400105502,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,0,0.41366168599811499,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.3169265400015865,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.42119964999877266,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,20,0.35320833099915762,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.46217261000000872,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.2971008520005562,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.4681676980010234,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,10,0.3563436740009929,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,10,0.30050505000047269,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.41569423299957998,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.3182529899969231,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.4237052209984977,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",2,20,0.3552748700022348,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,0,0.4498104959974298,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,10,0.29978899100056151,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",2,20,0.50011849500073004,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.3735960229987686,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 255, 0]",0,0,0.2879818039999518,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,0,0.417862588001095,1,C,1,8,YR,BLACK,Yellow Circle
"[255, 0, 0]",0,20,0.35030689699869254,1,C,1,8,YR,BLACK,Yellow Circle
