Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",0,10,0.238495472999966,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.4405870439998835,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.4371364489994885,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3001516639998663,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.30462773099982587,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.24863939999998547,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.44058691100008582,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.4212654300000504,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3459481179996001,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3040625480005765,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.279602582000196,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.40313885099973413,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.394927349999481521,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.2809433289990993,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.36032971300036297,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.2480278079998025,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.40352158099965163,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.39421320400006516,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.30317272699975,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3048874069999729,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.24831646200049727,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.387473415000648,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.41087055799957307,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3338232829992048,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3602906219997676,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.279801980999967782,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,20,0.42615549699999974,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4400689969996456,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3068720030006807,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3041886439997688,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.2251658200007296,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3810483750004787,1,C,1,8,GR,BLACK,Green Circle
