Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",0,10,0.3514386220014421,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.30975823199914885,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3729680780005728593,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3738655370008200407,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3270329139998939,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.32339010100028827,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.28515014599985443,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.2692143240006408,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.2895596750006225,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3041941849998839,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.3103054939983267,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.28284917600000335,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.3746177889996179,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2836441359985911,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.4211003569986351,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.27263753200026986,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4309999720003107,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.30374005700014823,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,20,0.25181844400080445,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.395151331000583,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3478524819997692,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.228080616998428,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3061619530002354,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.38720735200158379,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2602450329992862,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.4248399010003486,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.3712249079999019,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.2425747400000546,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.3116869470003003,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3652519530004065,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.24032163999990735,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.4130109669997037,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3728083270003408,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2567005379999173,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3327453100011917,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3772189099990501,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.2280214449993946,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.39897795100096846,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3619604140000738,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.25529786500075716,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.333004003999740235,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,20,0.393100393001092,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.2484432039984531,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.4383098950007552,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.3510093929992436,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.2320070689990971,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3109776089998195,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.39222186700074235,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.2380373140000738,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.42904144800026552,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3527948159998341,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.24682676800066838,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.2918211510001565,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.40406951099910657,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2650128590008098,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.4178703100005223,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.391169350000287523,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.26012132800089603,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.3056524379999173,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.4172457440000726,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.2439662390002486,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.4029981870004412,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.36638559300154157,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.25294396399968537,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,20,0.31900287199864397,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3827332940002816,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.2549030330004753,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.41523261600144906,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3551497239991295,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.2536672339992801,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.30728787100066256,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.38550910500143073,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.25770400899942615,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.40439053699884971,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3940542789996689,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.2372148319991829,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3272952809996932,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3732780239999556,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.24315587199847505,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.4217157030006929,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.36844579800032079,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.23857195699922158,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,20,0.3226789539999154,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.39742088600006537,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.24469833000063954,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.43537358499995025,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.37071639800033881,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.2455709099995147,1,C,1,8,GR,BLACK,Red Circle
