Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",0,0,0.2641967280002136,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.290963449999661,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.400663614999837591,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3192725889991707,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.41278828999985126,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.2941468290007906,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3640211220006458,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.3689670930006978,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.32300194899896451,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.40905717800145794,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.2831501920000592,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3946842900003394,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3448388560005842,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.36956913899934443,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3852994779998553,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3357304439995787,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3352794719984231,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.3635324619999883,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.34438710799987894,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3352548949999618,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.33511525799980154,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3351200689986581,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3854178630001697,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3857926139984484,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.34494544100029452,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.34429336000030162,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.33536718599882443,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.3636001200012252,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.363170148999241064,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.37282328500090807,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.39470576899948355,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3941014510002278,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3350310750001227,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.3444942140003841,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.3697567520010198,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3548925050006801,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3446698340015864,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3604774080004136,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.3695608699989243,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.33524613100013812,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.34422594399837544,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3948842339998228,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3608482650003716,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3810898099983169,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.36052580299958936,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3352901499995205,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.344325284000035,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3720597009998746,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3353479139997944,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3728887490011548,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3949113220003637,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.33547804899894982,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.372324038000690052,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.34483842600029311,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.33517883599920606,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.354852474999264814,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.34472572400077479,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.36017517699963355,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.3445036200003524,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3357671289988357,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.33584415099931357,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.39474362899930566,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.35472810899953765,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3946876899990311,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3543766760003637,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3354428289996722,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3817144120005978,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.3446490310001536,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3813905220007291,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.34439640400002827,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3609176840009168,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.36911942100118904,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.34465891499951249,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.381738542001287,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3940964860007953,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.39490075299893215,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.36370105400134344,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3942679310007952,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.36390686799865216,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3725320860008651,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3543816070005123,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3858543910013832,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.34427428899949882,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.35444090200040955,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3549923629994736984,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.37243565000050876,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.38100663499941584,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.3693327819987171,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.34473941600068065,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3540924280002364,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.381936513000328,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3810104180004564,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.363944239998993,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.33581130700136418,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3941209350016288,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3852121199989051,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.38581631100038067,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.360465848999156151,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.36961288299925218,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.38580752099916572,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3354691689999454,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.3441538180005882,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.36907387699991523,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.38106287899997551,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.385037570998742,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.37227652299830515,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.3636133920008724,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3356813699987979,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3359889490003115,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3724130679989903,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.38595514199871104,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3446017789999023,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.3447838309990766,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3723214810000354,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3449940169986221,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.385817962001179694,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.2836377729997039,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.30580255500087515,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.302580953999146,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.2990917570008314,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.2807261060008896,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.2894607860006072,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.28347104699995543,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3180742890007386,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.2809079689994105,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.28969378099916503,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3157499610001396,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3025535449996241,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.28008241299970541,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3152163489992672,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.30555855199979851,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.3314956799998472,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.2808188400001236,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.318050683000125,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.31599349500056996,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.30210623499983922,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.32957131500035757,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.27313512499918579,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3717145389994403,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.41644261700131756,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.3068740610001114,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.2378856889999006,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.4041105879986426,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.391226055999854,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.306783506999985548,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.253936125998967327,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.357466039999897475,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.42049938700028,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3079608399996359,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.2731536879999767,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.3581813970010553,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.4122773309991608,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.32752066999937233,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.29047956700008945,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.35943013699894072,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.396888623999562697,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.27834179800022685,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.39871463600097923,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.3145946129995427,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.39193482000069343,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3516790650008188,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.3334757369988802,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.39730988800026535,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.3055839699986682,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.4071552009994339,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.3099147030012682,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.34591680200019618,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.33039900799984753,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.34048121199964953,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.36858192900038557,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.2758961659991619,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.33592043500053114,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.37084624000027543,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.352539948000107,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.3447271139991062,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.2823772539994243,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.314442237999086501,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.36355098999926122,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.30185109100067348,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.315208760999375954,1,C,1,8,RG,BLACK,Green Circle
