Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,20,0.3206948559996963,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3357965049991617,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3001385190006549,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.28269317099991895,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.29957419000034861,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2614432759998599,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.2859581169991434,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.36690405199993984,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.304079521000298,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.34555482100149675,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.304693819001026,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.29532796700084873,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3208989499995951,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.2959750809991092,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.31773364799992123,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.34551346099939838,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3549760310003621,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3296769440016069,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3470707149985683,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.33896342799946433,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3296692520006909035,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.2958619289995113,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3477222649987234,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.33887641700051608,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.2951345870003861,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.2950440669999371,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.32920119699997304,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.3047840330002364,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3544242059994285,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,20,0.3548658619998023,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.2950407290004659,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.32022337700164644,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3266927940000896,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.3174618220005068,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3042059539994225,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3473813920003886,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.3044535999999789,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.2957288090009388,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.3294505590010813,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3260720460001612,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.33802707300051406,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.34567521500033035,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.304619347999178,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.3451830469992419,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.31783039699953224,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.30469466799923975,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.32015546699846163,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.34777808299972094,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.29521323799878883,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.304792210999294184,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.3172970139997633,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.30469400999955542,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,20,0.35466618099831976,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.32676073000101314,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.34705288100006874,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.320118749000525,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.32983967400033725,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,10,0.3267415850016987,1,C,1,8,RG,BLACK,Red Circle
