Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",0,10,0.238495473,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.440587044,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.437136449,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.300151664,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.304627731,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.2486394,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.440586911,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.42126543,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,20,0.345948118,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.304062548,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.279602582,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.403138851,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.39492735,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.280943329,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.360329713,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.248027808,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.403521581,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.394213204,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.303172727,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.304887407,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.248316462,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.387473415,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.410870558,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,20,0.333823283,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.360290622,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,20,0.279801981,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,20,0.426155497,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,20,0.440068997,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.306872003,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.304188644,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.22516582,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.381048375,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.421188573,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.300922511,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.304805284,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.24267009,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.381786077,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.417374747,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.326922236,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,20,0.350194803,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,0,0.21520904,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,10,0.409178039,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",2,10,0.421925146,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",2,10,0.326389501,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.307416594,1,C,1,8,GR,BLACK,Green Circle
"[255, 0, 0]",0,20,0.271570496,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,10,0.403602055,1,C,1,8,GR,BLACK,Green Circle
"[0, 255, 0]",0,0,0.394556627,1,C,1,8,GR,BLACK,Green Circle
