Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",0,10,0.351438622,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.309758232,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.372968078,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.373865537,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.327032914,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.323390101,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.285150146,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.269214324,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.289559675,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.304194185,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.310305494,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.282849176,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.374617789,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.283644136,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.421100357,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.272637532,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.430999972,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.303740057,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,20,0.251818444,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.395151331,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.347852482,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.228080617,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.306161953,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.387207352,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.260245033,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.424839901,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.371224908,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.24257474,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.311686947,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.365251953,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.24032164,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.413010967,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.372808327,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.256700538,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.33274531,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.37721891,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.228021445,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.398977951,1,C,1,8,GR,BLACK,Red Circle
