Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",0,10,1.3164386220014421,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.03475823199914885,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.0019680780005728593,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.0038655370008200407,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.6500329139998939,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.02639010100028827,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.27115014599985443,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.4592143240006408,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.5405596750006225,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.4881941849998839,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.6493054939983267,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.14384917600000335,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.3336177889996179,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.3056441359985911,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.1471003569986351,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.14963753200026986,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.7589999720003107,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.24574005700014823,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,20,0.13281844400080445,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.441151331000583,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.4348524819997692,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.532080616998428,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.7631619530002354,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.19120735200158379,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.1962450329992862,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.5368399010003486,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.3532249079999019,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.1925747400000546,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.5296869470003003,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.1502519530004065,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.29432163999990735,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.5790109669997037,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.0808083270003408,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2177005379999173,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.5927453100011917,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.2832189099990501,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.4830214449993946,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.41597795100096846,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3159604140000738,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.41029786500075716,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.028004003999740235,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,20,0.652100393001092,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.2494432039984531,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.2803098950007552,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,0,0.3120093929992436,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.0210070689990971,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.5309776089998195,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.26422186700074235,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.2900373140000738,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.13504144800026552,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.1157948159998341,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.24282676800066838,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.8438211510001565,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,10,0.12406951099910657,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.5130128590008098,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,0,0.2568703100005223,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.020169350000287523,0,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,20,0.11512132800089603,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,10,0.3636524379999173,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,20,0.6142457440000726,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.3669662390002486,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,0,0.8209981870004412,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",0,0,0.44138559300154157,0,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,20,0.16994396399968537,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",2,20,0.19600287199864397,1,C,1,8,GR,BLACK,Red Circle
"[0, 255, 0]",0,10,0.6877332940002816,1,C,1,8,GR,BLACK,Red Circle
"[255, 0, 0]",2,10,0.5379030330004753,0,C,1,8,GR,BLACK,Red Circle
