Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",0,0,2.3561967280002136,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.542963449999661,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.012663614999837591,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.1082725889991707,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.25478828999985126,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.1861468290007906,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.6130211220006458,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.1679670930006978,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.07600194899896451,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.06905717800145794,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.7611501920000592,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.2066842900003394,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.3788388560005842,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.15056913899934443,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.3712994779998553,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.4247304439995787,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.3212794719984231,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.6895324619999883,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.47838710799987894,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.5552548949999618,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.29911525799980154,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.7151200689986581,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.7214178630001697,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.7937926139984484,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.05094544100029452,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.06929336000030162,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.08636718599882443,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.6676001200012252,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.005170148999241064,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.07882328500090807,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.44470576899948355,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.6001014510002278,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.6070310750001227,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.2684942140003841,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.2617567520010198,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.4298925050006801,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.6766698340015864,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.5524774080004136,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.4625608699989243,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.21724613100013812,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.06022594399837544,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.6458842339998228,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.2568482650003716,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.3100898099983169,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.23252580299958936,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.7782901499995205,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.707325284000035,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.7480597009998746,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.7603479139997944,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.4068887490011548,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.6529113220003637,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.18347804899894982,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.025324038000690052,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.07383842600029311,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.45817883599920606,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.045852474999264814,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.04272572400077479,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.00917517699963355,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.5825036200003524,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,0,0.2517671289988357,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.25684415099931357,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.08774362899930566,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.47072810899953765,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.8856876899990311,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.6713766760003637,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,0,0.2694428289996722,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.6957144120005978,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.6946490310001536,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.8963905220007291,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.24739640400002827,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,10,0.5439176840009168,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.16711942100118904,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,0,0.07065891499951249,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.384738542001287,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.5080964860007953,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.42090075299893215,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.22470105400134344,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,20,0.5842679310007952,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,10,0.14990686799865216,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.3975320860008651,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.9213816070005123,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",0,20,0.6378543910013832,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.05527428899949882,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.34044090200040955,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.0049923629994736984,0,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,20,0.42543565000050876,0,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",2,20,0.06700663499941584,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,10,0.4963327819987171,1,C,1,8,RG,BLACK,Green Circle
"[255, 0, 0]",0,0,0.28873941600068065,1,C,1,8,RG,BLACK,Green Circle
"[0, 255, 0]",2,10,0.4330924280002364,0,C,1,8,RG,BLACK,Green Circle
