Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[0, 255, 0]",2,20,2.2296948559996963,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.0907965049991617,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.4371385190006549,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.37769317099991895,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.08957419000034861,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.2154432759998599,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.4979581169991434,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,0,0.02790405199993984,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,0,0.270079521000298,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.27055482100149675,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,0,0.425693819001026,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.04032796700084873,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,10,0.6318989499995951,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,0,0.3069750809991092,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,10,0.34273364799992123,0,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",0,20,0.07751346099939838,0,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,20,0.8579760310003621,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",0,10,0.5056769440016069,1,C,1,8,RG,BLACK,Red Circle
"[255, 0, 0]",2,20,0.6660707149985683,1,C,1,8,RG,BLACK,Red Circle
"[0, 255, 0]",2,20,0.08996342799946433,0,C,1,8,RG,BLACK,Red Circle
