Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name
"[0, 0, 255]",2,10,0.2953960999730043,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.35120213602203876,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.4750348160159774,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.37058345903642476,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.28765533899422735,1,Mingda,1,4,BR
"[0, 0, 255]",0,20,0.3388988389633596,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.3931111179990694,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.31049050600267947,1,Mingda,1,4,BR
"[255, 0, 0]",0,0,0.29000407096464187,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.30367674195440486,0,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.3200695270206779,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.31730617996072397,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.3090598030248657,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.43099077697843313,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.3574921670369804,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.32805884204572067,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.3649892489775084,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.3437670919811353,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.487826019001659,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.34716170601313934,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.39169516699621454,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.41853044397430494,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.43254366697510704,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.5324034860241227,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.34270993497921154,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.3617618569987826,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.4039963650284335,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.3296716039767489,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.371955358015839,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.37511052802437916,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.3270052820444107,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.3180176579626277,1,Mingda,1,4,BR
"[0, 0, 255]",0,20,0.3615708780125715,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.38619676599046215,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.3839768079924397,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.45530913898255676,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.3967772719915956,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.4178805959527381,1,Mingda,1,4,BR
"[255, 0, 0]",0,0,0.43932840699562803,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.4979049350367859,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.36242941702948883,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.31646170403109863,1,Mingda,1,4,BR
"[255, 0, 0]",0,0,0.3192222010111436,1,Mingda,1,4,BR
"[0, 0, 255]",0,20,0.3576177600189112,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.413568805961404,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.3813139599515125,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.35671449900837615,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.36526375502580777,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.34439198102336377,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.37279813300119713,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.38837829197291285,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.44084689603187144,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.38376919901929796,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.45918986498145387,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.32084443495841697,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.45018879702547565,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.3545557179604657,1,Mingda,1,4,BR
"[0, 0, 255]",0,20,0.3278003199957311,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.43996832298580557,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.5033233430003747,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.45780324999941513,1,Mingda,1,4,BR
"[0, 0, 255]",0,20,0.4981761689996347,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.4192323100287467,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.3947232459904626,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.4475006340071559,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.4742264220258221,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.4038726309663616,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.49441150802886114,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.6358204439748079,1,Mingda,1,4,BR
"[0, 0, 255]",0,20,0.35735319100786,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.34035595500608906,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.3504319939529523,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.40622783097205684,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.3789963510353118,0,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.30165465001482517,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.3944687810144387,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.3092280220007524,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.3098554129828699,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.3153100510244258,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.3756445120088756,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.5742278859834187,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.3882266450091265,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.3043852810515091,1,Mingda,1,4,BR
"[255, 0, 0]",0,0,0.25394369498826563,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.40697522199479863,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.3650006640236825,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.4314447590149939,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.39766812801826745,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.38297420798335224,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.3214325899607502,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.4137438049656339,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.29981241101631895,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.4263728659716435,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.35140145203331485,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.47410282102646306,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.3831375029985793,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.3701947230147198,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.3330639720079489,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.33598531503230333,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.34229267499176785,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.3819420780055225,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.44553483999334276,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.3672314349678345,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.4066081769997254,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.4112141210353002,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.33674669900210574,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.4230446969741024,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.4069213930051774,1,Mingda,1,4,BR
"[0, 0, 255]",0,20,0.40812981000635773,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.3500919509679079,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.3844267849926837,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.441501199034974,1,Mingda,1,4,BR
"[255, 0, 0]",0,0,0.35768040094990283,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.3629209389910102,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.47451708401786163,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.43271708401152864,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.42474125599255785,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.3287797329830937,1,Mingda,1,4,BR
"[255, 0, 0]",2,0,0.2780187230091542,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.39702356699854136,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.3320247450028546,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.35493647505063564,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.44929103198228404,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.4211054900079034,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.3541126739582978,1,Mingda,1,4,BR
"[255, 0, 0]",0,0,0.3256828199955635,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.38892994000343606,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.365873719973024,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.3229774099891074,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.4563362089684233,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.458503647998441,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.3044507789891213,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.39935227599926293,1,Mingda,1,4,BR
"[0, 0, 255]",2,20,0.35294529900420457,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.2779387360205874,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.3316877610050142,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.3565543789882213,1,Mingda,1,4,BR
"[0, 0, 255]",0,20,0.3831771470140666,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.41445272898999974,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.34184623800683767,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.3272728370502591,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.40044217702234164,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.4655503599788062,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.3857935809646733,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.2804210709873587,1,Mingda,1,4,BR
"[0, 0, 255]",2,10,0.4277575119631365,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.3953679649857804,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.4031850440078415,1,Mingda,1,4,BR
"[0, 0, 255]",2,0,0.32201889099087566,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.44491579500027,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.5710453439969569,1,Mingda,1,4,BR
"[255, 0, 0]",2,20,0.39663611800642684,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.35375273699173704,1,Mingda,1,4,BR
"[255, 0, 0]",2,10,0.29978805797873065,1,Mingda,1,4,BR
"[255, 0, 0]",0,10,0.3070397170376964,1,Mingda,1,4,BR
"[255, 0, 0]",0,20,0.35906888102181256,1,Mingda,1,4,BR
"[0, 0, 255]",0,10,0.3617895219940692,1,Mingda,1,4,BR
"[255, 0, 0]",0,0,0.5214019830455072,1,Mingda,1,4,BR
"[0, 0, 255]",0,0,0.588264384015929,1,Mingda,1,4,BR
