Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name
"[255, 255, 0]",0,10,0.4122185030137189,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.3075787799898535,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.4350887759937905,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.3776521810214035,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.31842206401051953,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.41857169900322333,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.3554343339637853,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.37633178901160136,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.37008688400965184,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.46337773301638663,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.2644125309889205,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.34916837100172415,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.3238226340035908,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.4382626619772054,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.35148518899222836,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.34478013997431844,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.37283339601708576,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.2965186819783412,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.3395611490122974,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.3286897939979099,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.3185480019892566,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.32713538402458653,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.27986431802855805,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.32630075397901237,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.297435657994356,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.34693892498034984,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.341939315025229,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.34065420797560364,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.33355538704199716,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.3212321249884553,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.29488645697711036,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.3673812720226124,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.358510366990231,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.33266923198243603,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.318905201042071,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.30636737297754735,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.35308337496826425,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.30565104098059237,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.2513135790359229,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.2611798900179565,0,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.38069926196476445,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.4502980780089274,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.3824407330248505,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.32711917301639915,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.3136591440415941,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.42649912502383813,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.3466478939517401,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.3512366289505735,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.32116798200877383,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.33758474403293803,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.3275760450051166,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.36176902597071603,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.3027857400011271,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.342472123040352,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.5912717659957707,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.18107485998189077,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.3457770149689168,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.37655119196278974,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.43177885201293975,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.3947428280371241,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.3899395350017585,0,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.408340944966767,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.3449730100110173,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.34467004996258765,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.2700051169958897,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.3218255980173126,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.3443992189713754,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.3396992619964294,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.3006948599941097,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.34966741199605167,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.38856731599662453,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.35968963900813833,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.40774732001591474,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.3051607979577966,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.32388673699460924,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.382033133006189,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.33451669302303344,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.2939482369692996,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.3042865320458077,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.32286381401354447,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.29009217902785167,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.3758228709921241,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.3331766939954832,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.2887149609741755,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.3230391260003671,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.32675106899114326,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.2990655910107307,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.40313606505515054,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.32190222304780036,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.31827384704956785,0,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.29909933800809085,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.34065547498175874,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.3071992750046775,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.34094645600998774,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.32365589402616024,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.405337906035129,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.30081549199530855,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.3562037299852818,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.2734731240198016,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.31810354598565027,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.31161209096899256,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.3878263980150223,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.3090061690309085,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.31007531902287155,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.3507481859996915,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.4743062679772265,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.3200479180086404,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.3630292469752021,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.32273385900771245,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.36681083199800923,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.35049967700615525,1,Mingda,1,4,BY
"[255, 255, 0]",2,10,0.3444872139953077,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.33561561099486426,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.32249606802361086,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.28903012996306643,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.339283294044435,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.3235648589907214,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.3943451910163276,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.31898652197560295,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.27844874100992456,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.34470692300237715,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.39526466303505003,1,Mingda,1,4,BY
"[255, 255, 0]",0,10,0.31529319001128897,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.284906102984678,1,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.7186860259971581,1,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.33574502903502434,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.48524740699213,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.450861037010327,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.31542570603778586,1,Mingda,1,4,BY
"[255, 255, 0]",0,0,0.3202974779997021,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.3539189049624838,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.3168927379883826,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.3304104940034449,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.36541658197529614,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.3321144840447232,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.2724123469670303,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.2572414519963786,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.26187257998390123,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.2601671130396426,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.2875298779690638,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.33687829703558236,0,Mingda,1,4,BY
"[0, 0, 255]",0,10,0.3182324299705215,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.33595998102100566,1,Mingda,1,4,BY
"[255, 255, 0]",0,20,0.2819302679854445,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.26478887296980247,1,Mingda,1,4,BY
"[0, 0, 255]",2,0,0.3334121480002068,1,Mingda,1,4,BY
"[0, 0, 255]",2,20,0.29320755001390353,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.38636248698458076,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.3616543670068495,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.3323013609624468,0,Mingda,1,4,BY
"[255, 255, 0]",2,0,0.35687963804230094,1,Mingda,1,4,BY
"[0, 0, 255]",0,0,0.5200929190032184,0,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.288077846984379,1,Mingda,1,4,BY
"[0, 0, 255]",0,20,0.9640668699867092,1,Mingda,1,4,BY
"[255, 255, 0]",2,20,0.32800332899205387,1,Mingda,1,4,BY
"[0, 0, 255]",2,10,0.2515173520077951,1,Mingda,1,4,BY
