Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name
"[0, 255, 0]",0,10,0.36241571500431746,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.4256525060045533,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.5036274869926274,0,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.2953495960100554,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.28281708899885416,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.37327879102667794,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.27801421203184873,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.3336566869984381,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.3378713970305398,1,Mingda,1,4,GB
"[0, 0, 255]",2,0,0.5315733550232835,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.37211865902645513,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.38159624801483005,0,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.3660750520066358,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.350795446021948,1,Mingda,1,4,GB
"[0, 255, 0]",0,10,0.4655932439491153,1,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.3523526760400273,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.2985205720178783,1,Mingda,1,4,GB
"[0, 255, 0]",0,0,0.28722041903529316,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.26021670195041224,1,Mingda,1,4,GB
"[0, 255, 0]",0,0,0.2701505880104378,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.2997252300265245,1,Mingda,1,4,GB
"[0, 255, 0]",0,0,0.2968216330045834,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.3342569579835981,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.36612046603113413,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.3536518950131722,1,Mingda,1,4,GB
"[0, 0, 255]",2,20,0.3186763470293954,1,Mingda,1,4,GB
"[0, 255, 0]",2,0,0.33838435396319255,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.3688553919782862,1,Mingda,1,4,GB
"[0, 0, 255]",0,20,0.37939500401262194,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.3331241569831036,1,Mingda,1,4,GB
"[0, 0, 255]",0,10,0.4280823579756543,1,Mingda,1,4,GB
"[0, 0, 255]",0,0,0.3873011090327054,1,Mingda,1,4,GB
"[0, 255, 0]",2,10,0.3596034300280735,1,Mingda,1,4,GB
"[0, 255, 0]",2,20,0.28534815402235836,1,Mingda,1,4,GB
"[0, 255, 0]",0,0,0.321256099967286,0,Mingda,1,4,GB
"[0, 255, 0]",0,20,0.37407543003791943,1,Mingda,1,4,GB
