Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name
"[0, 255, 0]",2,20,0.8867448029923253,1,Mingda,1,4,GR
"[0, 255, 0]",0,20,0.3579920419724658,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.34305717004463077,1,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.28330230101710185,1,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.43350162100978196,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.2841523889801465,0,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.31804095598636195,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.3769733739900403,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.39317812700755894,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.3456172879668884,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.43757776299025863,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.33423216501250863,1,Mingda,1,4,GR
"[0, 255, 0]",0,20,0.37708352698246017,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.29297534498618916,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.41159252100624144,1,Mingda,1,4,GR
"[0, 255, 0]",2,20,0.38054136000573635,1,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.3598019479541108,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.34618132101604715,1,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.29963634704472497,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.3736526679713279,1,Mingda,1,4,GR
"[0, 255, 0]",2,0,0.3741346310125664,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.347642378997989,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.3444613629835658,1,Mingda,1,4,GR
"[255, 0, 0]",2,20,0.3944791139801964,1,Mingda,1,4,GR
"[255, 0, 0]",0,0,0.28573539498029277,1,Mingda,1,4,GR
"[0, 255, 0]",2,10,0.39575761201558635,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.4621142309624702,1,Mingda,1,4,GR
"[0, 255, 0]",0,20,0.44274614402092993,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.36410569096915424,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.44424661895027384,1,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.5753444680012763,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.4322526879841462,0,Mingda,1,4,GR
"[0, 255, 0]",0,10,0.3910151750314981,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.46448550501372665,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.33921280200593174,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.4624797889846377,1,Mingda,1,4,GR
"[255, 0, 0]",2,0,0.3706351050059311,1,Mingda,1,4,GR
"[0, 255, 0]",2,20,0.34391603502444923,1,Mingda,1,4,GR
"[255, 0, 0]",0,20,0.3821561620570719,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.346333310008049,1,Mingda,1,4,GR
"[0, 255, 0]",0,0,0.3627735990448855,1,Mingda,1,4,GR
"[255, 0, 0]",2,10,0.31348717398941517,0,Mingda,1,4,GR
"[255, 0, 0]",0,10,0.34437376202549785,1,Mingda,1,4,GR
