Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name
"[255, 255, 0]",0,10,0.46443362801801413,1,Mingda,1,4,RY
"[255, 0, 0]",0,20,0.3327038650168106,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.36182889103656635,1,Mingda,1,4,RY
"[255, 0, 0]",0,10,0.34627509699203074,1,Mingda,1,4,RY
"[255, 255, 0]",2,20,0.36599882901646197,1,Mingda,1,4,RY
"[255, 0, 0]",0,10,0.32832172798225656,1,Mingda,1,4,RY
"[255, 255, 0]",2,20,0.364597633946687,1,Mingda,1,4,RY
"[255, 0, 0]",0,0,0.2904152619885281,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.2986111819627695,1,Mingda,1,4,RY
"[255, 0, 0]",2,0,0.4440579419606365,1,Mingda,1,4,RY
"[255, 0, 0]",0,10,0.4469049629988149,1,Mingda,1,4,RY
"[255, 0, 0]",0,10,0.3353459920035675,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.321163993969094,1,Mingda,1,4,RY
"[255, 255, 0]",2,0,0.38298300199676305,1,Mingda,1,4,RY
"[255, 0, 0]",2,20,0.36279957101214677,1,Mingda,1,4,RY
"[255, 0, 0]",2,0,0.292609132011421,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.49198113998863846,1,Mingda,1,4,RY
"[255, 0, 0]",2,0,0.31406998995225877,1,Mingda,1,4,RY
"[255, 0, 0]",2,0,0.3170918130199425,0,Mingda,1,4,RY
"[255, 0, 0]",0,10,0.3000012009870261,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.37474502698751166,1,Mingda,1,4,RY
"[255, 0, 0]",0,20,0.36250617500627413,1,Mingda,1,4,RY
"[255, 0, 0]",2,10,0.3805771500337869,1,Mingda,1,4,RY
"[255, 0, 0]",0,10,0.32375076902098954,1,Mingda,1,4,RY
"[255, 255, 0]",0,20,0.3000766859622672,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.313284594041761,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.4542802299838513,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.2766321790404618,1,Mingda,1,4,RY
"[255, 255, 0]",0,10,0.32425056694773957,1,Mingda,1,4,RY
"[255, 0, 0]",0,0,0.38748420600313693,1,Mingda,1,4,RY
"[255, 0, 0]",0,10,0.2963669059681706,1,Mingda,1,4,RY
"[255, 255, 0]",2,10,0.38012035499559715,1,Mingda,1,4,RY
"[255, 255, 0]",2,20,0.3176024130079895,1,Mingda,1,4,RY
"[255, 0, 0]",0,20,0.34519361599814147,1,Mingda,1,4,RY
"[255, 255, 0]",2,0,0.3241299460059963,1,Mingda,1,4,RY
"[255, 0, 0]",0,0,0.43279640399850905,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.4195174879860133,1,Mingda,1,4,RY
"[255, 255, 0]",0,20,0.31421984202461317,1,Mingda,1,4,RY
"[255, 255, 0]",2,0,0.3589014600147493,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.3877298300503753,1,Mingda,1,4,RY
"[255, 0, 0]",0,20,0.37856820900924504,1,Mingda,1,4,RY
"[255, 0, 0]",2,0,0.3910706479800865,1,Mingda,1,4,RY
"[255, 255, 0]",0,10,0.3413106969674118,1,Mingda,1,4,RY
"[255, 255, 0]",2,20,0.3561647080350667,1,Mingda,1,4,RY
"[255, 0, 0]",2,10,0.3789377919747494,1,Mingda,1,4,RY
"[255, 0, 0]",0,0,0.2995290189865045,1,Mingda,1,4,RY
"[255, 255, 0]",0,10,0.3146191799896769,1,Mingda,1,4,RY
"[255, 0, 0]",2,0,0.40570881497114897,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.34173690498573706,1,Mingda,1,4,RY
"[255, 0, 0]",0,10,0.36104728700593114,1,Mingda,1,4,RY
"[255, 255, 0]",0,0,0.37439368094783276,1,Mingda,1,4,RY
"[255, 255, 0]",0,10,0.4157632190035656,1,Mingda,1,4,RY
"[255, 0, 0]",0,20,0.4097548720310442,1,Mingda,1,4,RY
"[255, 0, 0]",2,0,0.38307261298177764,1,Mingda,1,4,RY
