Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name
"[255, 255, 0]",2,10,0.5438743950217031,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.25533586903475225,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.2833475960069336,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.3746179140289314,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.32931502198334783,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.2812472670339048,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.342980012006592,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.305829239950981,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.300320812035352,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.3722103990148753,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.3350020879879594,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.3275373929645866,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.38645637297304347,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.33316702995216474,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.29897619399707764,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.30736209102906287,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.37092866201419383,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.36802434001583606,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.3410497719887644,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.42302085703704506,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.3418482880224474,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.33672583900624886,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.35418134299106896,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.30922230903524905,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.24980353302089497,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.341965418017935,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.34177470399299636,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.32860312599223107,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.36350764898816124,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.34903582697734237,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.35083709697937593,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.3478358220309019,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.3491319010499865,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.35864071000833064,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.3173919550026767,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.38147236802615225,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.3493026079959236,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.442680835025385,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.3419180169585161,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.29319603997282684,0,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.42244068102445453,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.3957446020212956,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.3393825190141797,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.33820188097888604,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.6343067709822208,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.3288204609998502,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.36395765701308846,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.4261032009962946,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.35433578601805493,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.3468099349993281,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.2841766430065036,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.40384370496030897,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.46247599698835984,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.4758425440522842,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.31837314798031,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.4240835660020821,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.5921428760048002,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.34184522897703573,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.3110777400434017,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.26103144901571795,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.24172049399930984,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.37326093000592664,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.3419875589897856,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.36040765698999166,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.289056399022229,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.2784262110362761,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.3790176350157708,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.4650587399955839,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.342216461955104,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.38499215902993456,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.35259174404200166,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.35837925103260204,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.3673118529841304,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.37805461895186454,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.311704141960945,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.4019419809919782,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.3512192230555229,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.39934672601521015,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.3088305600103922,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.32580817700363696,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.2634114610264078,0,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.6440533060231246,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.3664679250214249,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.33064612600719556,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.30220833903877065,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.2732249450054951,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.4309093749616295,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.3829172250116244,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.4008412029943429,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.37416197400307283,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.43583138898247853,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.9891082320245914,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.3445452250307426,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.2778083289740607,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.3433008069987409,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.36438067199196666,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.4273318200139329,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.31347697594901547,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.36118783499114215,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.4567902160342783,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.4036810640245676,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.4854838770115748,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.42063481197692454,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.33854842698201537,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.32896680902922526,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.3609830270288512,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.3704686790006235,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.27311989094596356,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.36602672102162614,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.39393786794971675,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.45658164302585647,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.40842782700201496,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.41233028803253546,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.3712098830146715,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.3822167360340245,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.34456695697735995,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.4117093989625573,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.32245104800676927,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.30675580096431077,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.3326538580004126,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.3610336889978498,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.4819659479544498,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.5936743710190058,0,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.4044498350122012,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.37793994398089126,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.5026841139770113,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.4153788900002837,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.3004503180272877,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.30698307103011757,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.41988485399633646,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.3954700150061399,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.48745890997815877,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.4977184039889835,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.3821799030411057,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.36353561299620196,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.45512248296290636,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.4132247180095874,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.27056777296820655,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.5938902780180797,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.3692515949951485,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.3400006360025145,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.3287130949902348,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.37132875103270635,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.41703521297313273,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.4499440240324475,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.5126291739870794,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.37134896498173475,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.419130900001619,0,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.5456527849892154,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.3864107159897685,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.48595336003927514,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.3558134069899097,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.2934238240122795,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.3685362169635482,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.3049805019982159,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.3434511839877814,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.3959225899889134,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.40489238896407187,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.4080224799690768,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.3369372070301324,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.3295731639955193,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.5408256520167924,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.33352991903666407,1,Mingda,1,4,YG
"[0, 255, 0]",0,0,0.3618339649983682,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.3115402069524862,1,Mingda,1,4,YG
"[0, 255, 0]",0,20,0.3608182200114243,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.39045679999981076,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.3959062309586443,1,Mingda,1,4,YG
"[0, 255, 0]",2,0,0.47465668100630865,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.29507381102303043,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.3555735829868354,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.3394403419806622,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.321478822035715,1,Mingda,1,4,YG
"[255, 255, 0]",0,0,0.2870403930428438,1,Mingda,1,4,YG
"[0, 255, 0]",2,10,0.41622876399196684,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.4112244540010579,1,Mingda,1,4,YG
"[255, 255, 0]",2,0,0.4757693689898588,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.5239689970039763,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.36111992702353746,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.34919037495274097,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.44891733198892325,1,Mingda,1,4,YG
"[255, 255, 0]",0,20,0.3319254899979569,1,Mingda,1,4,YG
"[255, 255, 0]",2,20,0.33749960002023727,1,Mingda,1,4,YG
"[0, 255, 0]",2,20,0.45218084001680836,1,Mingda,1,4,YG
"[0, 255, 0]",0,10,0.3004344549844973,1,Mingda,1,4,YG
"[255, 255, 0]",0,10,0.7404069780022837,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.32978439098224044,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.3605777519987896,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.48984285001643,1,Mingda,1,4,YG
"[255, 255, 0]",2,10,0.31252794596366584,1,Mingda,1,4,YG
