Previous Color,Color,Direction,Reaction Time 1 (s),Reaction Time 2 (s),Mistake?,Time Between Stimuli (s)
yellow,blue,0,0.937442399,0.430234027,No,1.053776755
blue,blue,0,0.435245373,0.340983384,No,1.489978147
yellow,blue,0,0.336580528,0.315407323,No,1.739295432
yellow,yellow,0,0.339771697,0.441296076,No,2.098480775
yellow,yellow,0,0.28468261,0.396331671,No,2.221638151
blue,blue,0,0.362847897,0.252351512,No,2.001660948
blue,yellow,0,0.272068939,0.397062314,No,2.1845249
yellow,blue,0,0.293696783,0.404101215,No,1.8643621
yellow,yellow,0,0.420278642,0.25831243,No,1.865285293
yellow,yellow,0,0.349544769,0.320424926,No,1.956117496
blue,yellow,0,0.354688636,0.457648131,No,1.927372929
yellow,yellow,0,0.378488069,0.269760649,No,2.309046678
blue,yellow,0,0.307949396,0.324125318,No,1.650426268
yellow,blue,0,0.330770932,0.414031332,No,1.826030269
blue,blue,0,0.319436965,0.303983195,No,1.855355181
blue,blue,0,0.302020039,0.290696063,No,2.075860576
blue,yellow,0,0.266061092,0.291358708,No,1.905122721
yellow,yellow,0,0.298052793,0.298642488,No,1.949148461
yellow,blue,0,0.209575324,0.43879744,No,2.310805016
yellow,blue,0,0.466958063,0.387558045,No,1.640133041
yellow,blue,0,0.323037578,0.390902821,No,1.664548541
blue,yellow,0,0.395177861,0.405614175,No,1.809326299
blue,blue,0,0.436756241,0.315513722,No,2.124287039
yellow,blue,0,0.33063725,0.330570311,No,2.262752637
blue,yellow,0,0.313330137,0.403328996,No,1.924731476
blue,yellow,0,0.417713993,0.406668482,No,1.779861999
yellow,yellow,0,0.354916765,0.268480198,No,2.230957958
blue,blue,0,0.314793386,0.333066184,No,2.444479801
yellow,yellow,0,0.350304281,0.263557814,No,2.35037159
blue,yellow,0,0.380248398,0.354843083,No,2.131237272
blue,yellow,0,0.278007212,0.439897946,No,1.815061951
yellow,yellow,0,0.437913433,0.360406344,No,2.086788348
yellow,yellow,0,0.306363184,0.309348252,No,2.184682602
blue,blue,0,0.304686171,0.338546002,No,1.91935336
yellow,yellow,0,0.328995595,0.309768667,No,1.584779858
blue,blue,0,0.337497053,0.30780402,No,2.202108117
yellow,blue,0,0.33607557,0.337534669,No,1.878532262
yellow,blue,0,0.356061729,0.32638244,No,2.110740807
blue,yellow,0,0.333751046,0.33181287,No,2.315236987
blue,blue,0,0.407856547,0.353270395,No,2.010992962
blue,yellow,0,0.274116056,0.342228938,No,1.872949213
blue,blue,0,0.324487714,0.335012635,No,1.956000752
blue,blue,0,0.266053613,0.273426342,No,1.820092431
blue,blue,0,0.292735476,0.293909427,No,2.155651114
blue,blue,0,0.331064855,0.263309256,No,2.362649891
yellow,yellow,0,0.424438852,0.317501158,No,1.73517143
blue,yellow,0,0.375931309,0.382251813,No,1.698899451
blue,blue,0,0.645626412,0.416156102,No,1.533243354
yellow,blue,0,0.334307933,0.320422014,No,2.019702676
blue,yellow,0,0.338147687,0.399229939,No,1.538167345
yellow,yellow,0,0.300228934,0.295558804,No,1.929611251
yellow,blue,0,1.432842182,0.498298828,No,0.842533282
yellow,blue,0,0.44072865,0.496691114,No,1.948978139
yellow,yellow,0,0.304118555,0.28468806,No,2.14123846
blue,blue,0,0.32619676,0.234357843,No,1.975185886
yellow,yellow,0,0.403762691,0.366722772,No,2.165140792
yellow,blue,0,0.343347806,0.368976049,No,2.079583603
blue,yellow,0,0.293012678,0.370547145,No,1.882573506
blue,yellow,0,0.352132033,0.404854259,No,1.874871405
blue,blue,0,0.505342741,0.455427186,No,1.679442511
yellow,blue,0,0.324564156,0.367006612,No,1.695981338
blue,blue,0,0.354789353,0.367226868,No,1.907865103
blue,blue,0,0.294213352,0.407762449,No,1.730122369
blue,blue,0,0.417502272,0.304131225,No,2.04522964
yellow,blue,0,0.368661628,0.342024211,No,1.878118896
yellow,yellow,0,0.345608822,0.415971785,No,1.779943075
blue,yellow,0,0.41740422,0.356289643,No,1.808493675
blue,yellow,0,0.354833768,0.339715489,No,1.819762151
yellow,yellow,0,0.371190078,0.369877032,No,2.239078125
yellow,blue,0,0.321452103,0.348163476,No,2.090113122
yellow,blue,0,0.418469208,0.281793784,No,2.192381359
yellow,yellow,0,0.369842629,0.30079059,No,1.853876341
blue,yellow,0,0.349339723,0.476693567,No,2.010871091
yellow,blue,0,0.42095745,0.45681605,No,2.054791241
yellow,blue,0,0.416593782,0.322836598,No,1.818820722
yellow,blue,0,0.454506855,0.269767872,No,1.565400501
blue,blue,0,0.355910072,0.371498494,No,1.77742873
blue,blue,0,0.441165498,0.373849022,No,2.054699055
yellow,yellow,0,0.458069522,0.269486554,No,2.161109749
yellow,yellow,0,0.276204761,0.222923587,No,2.052399629
yellow,yellow,0,0.41378518,0.249462589,No,1.976192225
yellow,blue,0,0.618527111,0.570879483,No,1.448973239
blue,yellow,0,0.348358223,0.501961933,No,1.572935317
yellow,blue,0,0.38264725,0.434104901,No,1.878461675
blue,yellow,0,0.34584327,0.343643504,No,2.381830819
yellow,yellow,0,0.340413559,0.336361571,No,1.949489345
blue,yellow,0,0.301771961,0.346026693,No,2.271640434
blue,blue,0,0.298672247,0.501028322,No,2.072726608
yellow,blue,0,0.366011236,0.366021528,No,1.985033962
yellow,blue,0,0.356375206,0.467001111,No,1.892861086
blue,blue,0,0.290916521,0.352302793,No,1.919336928
blue,blue,0,0.271173399,0.301268285,No,1.739228141
blue,yellow,0,0.4501638,0.354044953,No,2.057682555
yellow,blue,0,0.442270612,0.46349218,No,2.20430191
blue,blue,0,0.682786467,0.322656241,No,1.331347249
blue,yellow,0,0.2870032,0.347485233,No,1.92937561
blue,blue,0,0.320147296,0.244182827,No,2.160784913
yellow,blue,0,0.457771409,0.321668831,No,1.778817396
blue,blue,0,0.50619097,0.253331165,No,1.889231967
yellow,yellow,0,0.365946401,0.440767728,No,1.677089933
yellow,blue,0,0.420663401,0.214225887,No,1.987451026
blue,yellow,0,0.284436352,0.348163794,No,2.200135854
yellow,blue,0,0.552186531,0.578220738,No,1.829834981
yellow,blue,0,0.321557409,1.465538441,No,1.63692436
yellow,yellow,0,0.557537721,0.410523195,No,1.896850141
blue,yellow,0,0.618850356,0.459033599,No,1.83902311
yellow,yellow,0,0.76754233,0.550374612,No,1.16884046
yellow,yellow,0,0.995433392,0.293858196,No,1.249483381
yellow,yellow,0,0.289702257,0.273716051,No,1.69723144
blue,yellow,0,0.22123674,0.399141738,No,1.854081136
yellow,yellow,0,0.275687154,0.457048287,No,1.962188275
blue,yellow,0,0.584192047,0.392638518,No,1.765568891
blue,yellow,0,0.529685631,0.749462921,No,1.759890284
blue,blue,0,0.416282127,0.507656442,No,1.829253786
yellow,yellow,0,0.377022886,0.517373101,No,1.846722473
blue,yellow,0,0.469243934,0.397931274,No,1.712662233
yellow,yellow,0,0.31433546,0.376334735,No,1.771502464
blue,blue,0,0.255252597,0.324053297,No,2.001703518
blue,yellow,0,0.348065476,0.40201831,No,2.132878544
blue,blue,0,0.340518994,0.714603895,No,1.78172241
yellow,yellow,0,0.611051277,0.334893938,No,2.055858285
yellow,yellow,0,0.312066031,0.387566887,No,1.72464623
yellow,blue,0,0.542674497,0.617706296,No,2.091166734
blue,blue,0,0.280817546,0.250667803,No,2.068250086
yellow,yellow,0,0.322859979,0.2623983,No,1.877788278
blue,yellow,0,0.616352594,0.409155818,No,1.513267563
yellow,yellow,0,0.342764626,0.24840681,No,1.760200355
yellow,blue,0,0.230393245,0.326890111,No,1.960883039
yellow,yellow,0,0.354664949,0.271139319,No,1.647497778
yellow,blue,0,0.236713293,0.308351872,No,2.135484081
yellow,blue,0,0.374538217,0.305506915,Yes,2.368869738
blue,yellow,0,0.285436643,0.354902268,No,2.410265652
blue,yellow,0,0.502318087,0.447884567,No,1.663444955
blue,yellow,0,0.394679637,0.43445444,No,1.77009104
blue,blue,0,0.340297725,0.287306691,No,2.047727864
yellow,blue,0,0.400675574,0.306899955,No,1.904944323
blue,yellow,0,0.328373333,0.272216081,No,2.23324423
blue,yellow,0,0.301708319,0.362387912,No,1.977386133
blue,yellow,0,0.397558662,0.459229409,No,1.875848753
yellow,yellow,0,0.305143537,0.273029404,No,2.199851124
blue,blue,0,0.374838696,0.422962723,No,2.061332131
yellow,yellow,0,0.454301264,0.271784425,No,1.823233605
yellow,yellow,0,0.2964549,0.276828848,No,1.917800569
yellow,yellow,0,0.411910528,0.260570916,No,1.916384279
yellow,yellow,0,0.261207637,0.30156819,No,1.816164178
yellow,blue,0,0.246364877,0.330185089,No,1.99220169
blue,blue,0,0.331702189,0.27312719,No,1.884283799
yellow,blue,0,0.331655849,0.306398279,No,1.873547725
yellow,yellow,0,0.350640529,0.253347134,No,2.002340096
yellow,yellow,0,0.297397391,0.258246413,No,2.090533392
yellow,yellow,0,0.242952923,0.266215926,No,2.285785984
blue,blue,0,0.321618831,0.302769268,No,1.958283938
blue,yellow,0,0.469836247,0.20612343,No,2.232918118
blue,blue,0,0.329916708,0.312879421,No,1.663759744
yellow,yellow,0,0.390441028,0.311251098,No,2.224898588
blue,blue,0,0.327577188,0.258053797,No,2.221033502
blue,yellow,0,0.315751599,0.277144819,No,2.130838871
blue,blue,0,0.385711338,0.261237517,No,2.288723257
yellow,yellow,0,0.341055878,0.409614382,No,1.900393711
blue,blue,0,0.410987646,0.254966519,No,2.267827459
yellow,blue,0,0.30046813,0.330245571,No,1.793778003
blue,yellow,0,0.294351441,0.298772455,No,2.083978487
blue,yellow,0,0.360140144,0.315795848,No,2.123741365
blue,yellow,0,0.381576479,0.371752026,No,1.894659022
yellow,yellow,0,0.301682154,0.313018931,No,2.098813137
yellow,blue,0,0.271451732,0.34986507,No,2.156543199
blue,blue,0,0.211549625,0.435065379,No,1.968777997
blue,blue,0,0.249364545,0.286491022,No,1.618655704
blue,blue,0,0.291402317,0.261433739,No,2.347878236
blue,blue,0,0.2520278,0.342978884,No,2.027019556
blue,yellow,0,0.337198847,0.255747399,No,2.018994775
blue,blue,0,0.607743776,0.301913629,No,1.621552397
yellow,blue,0,0.358890001,0.33841719,No,1.775689217
blue,blue,0,0.380656117,0.288128183,No,2.135786779
yellow,yellow,0,0.460290467,0.558655665,No,1.638631792
blue,yellow,0,0.425031161,0.470830203,No,1.89934765
blue,yellow,0,0.336199753,0.309514319,No,1.976838062
yellow,yellow,0,0.456415245,0.46333301,No,1.65229147
blue,blue,0,0.551258619,0.428274522,No,1.98069398
yellow,blue,0,0.728860047,0.541387272,No,1.61900962
yellow,blue,0,0.520328513,0.56275134,No,1.679834394
blue,blue,0,0.440151446,0.381684529,No,1.622626686
blue,blue,0,0.271762964,0.339568608,No,1.999507942
blue,yellow,0,0.776592448,0.532661108,No,1.380063842
yellow,yellow,0,0.393470341,0.282662282,No,1.782321746
blue,blue,0,0.359714756,0.341906911,No,2.402018822
blue,yellow,0,0.338693418,0.466667157,No,1.681950944
blue,blue,0,0.457942531,0.381090258,No,1.95360333
yellow,yellow,0,0.417668954,0.433654171,No,1.894878962
blue,yellow,0,0.453575745,0.435189675,No,1.556391855
yellow,blue,0,0.357710648,0.304039914,No,1.849992487
blue,blue,0,0.370654746,0.255723864,No,1.712329385
yellow,blue,0,0.313441405,0.498853734,No,1.712662505
yellow,blue,0,0.310578667,0.365936002,No,1.747420946
yellow,blue,0,0.391480445,0.443234074,No,2.130154465
blue,yellow,0,0.361222665,0.361570616,No,1.721564796
blue,yellow,0,0.434189085,0.424306227,No,2.015622029
yellow,yellow,0,0.366491014,0.369401952,No,1.488568711
yellow,blue,0,0.306297258,0.410216873,Yes,1.761722551
blue,yellow,0,0.321791398,0.374056967,No,1.737153394
yellow,blue,0,0.306335128,0.406150252,No,1.606828105
blue,yellow,0,0.595748718,0.473461194,No,1.954799662
blue,yellow,0,0.495501374,0.358495041,No,1.555586313
blue,yellow,0,0.33354815,0.368586446,No,1.8452639
yellow,yellow,0,0.318081184,0.696709176,No,1.660900282
blue,yellow,0,0.676733356,0.463400965,No,1.465795086
yellow,blue,0,0.482892113,0.352748844,No,2.101236343
blue,blue,0,0.431269994,0.400510623,No,2.079685971
yellow,yellow,0,0.42822579,0.322881509,No,2.147012531
blue,yellow,0,0.457942686,0.465414929,No,1.84499554
yellow,yellow,0,0.291288989,0.465875959,No,2.126410651
yellow,blue,0,0.316444063,0.339198647,No,2.30840633
yellow,yellow,0,0.347647961,0.285269771,No,2.266485159
blue,blue,0,0.317099929,0.50953226,No,1.966492604
blue,blue,0,0.23796738,0.304085566,No,1.968354031
blue,yellow,0,0.277359335,0.408235528,No,1.887393425
yellow,blue,0,0.30164637,0.378875893,No,2.220891531
blue,blue,0,0.321042989,0.329713778,Yes,1.887767842
yellow,blue,0,0.423493395,0.359113,No,1.998687279
blue,yellow,0,0.380750042,0.381720139,No,1.653743939
blue,yellow,0,0.489673367,0.471958275,No,1.874405398
yellow,yellow,0,0.733534046,0.411768535,No,1.616984747
yellow,yellow,0,0.326752974,0.511970546,No,1.846447468
blue,blue,0,0.479849632,0.264184196,No,1.669027715
yellow,yellow,0,0.353087534,0.556294614,No,2.046629115
blue,blue,0,0.502496155,0.425612795,No,1.770349638
yellow,blue,0,0.338251253,0.518005051,No,1.523545275
yellow,blue,0,0.331184966,0.369668588,No,2.141422688
yellow,yellow,0,0.420320016,0.47082164,No,1.725371438
yellow,blue,0,0.372010076,0.32991815,No,2.136636119
yellow,blue,0,0.385195296,0.578926664,No,1.532940915
yellow,blue,0,0.296352572,0.401762929,No,2.299739952
blue,blue,0,0.42703533,0.409864659,No,2.015780241
blue,blue,0,0.471998557,0.470950563,No,1.861910344
blue,yellow,0,0.481139922,0.420037146,No,2.060012479
blue,blue,0,0.429296285,0.425185289,No,2.194789148
yellow,yellow,0,0.427978336,0.728999139,Yes,1.767695701
yellow,blue,0,0.519846195,0.416249602,No,1.846327267
yellow,blue,0,0.442568085,0.391237744,No,1.995243837
yellow,blue,0,0.279977395,0.570627372,No,1.630280421
yellow,blue,0,0.322484988,0.336558742,No,1.940513576
yellow,blue,0,0.293237762,0.370296206,No,1.715423397
blue,blue,0,0.417951668,0.484072021,No,1.68447484
yellow,yellow,0,0.444647478,0.319530129,No,1.915957623
