Previous Color,Color,Direction,Reaction Time 1 (s),Reaction Time 2 (s),Mistake?,Time Between Stimuli (s)
yellow,yellow,0,0.611051277,0.334893938,No,2.055858285
yellow,yellow,0,0.312066031,0.387566887,No,1.72464623
yellow,blue,0,0.542674497,0.617706296,No,2.091166734
blue,blue,0,0.280817546,0.250667803,No,2.068250086
yellow,yellow,0,0.322859979,0.2623983,No,1.877788278
blue,yellow,0,0.616352594,0.409155818,No,1.513267563
yellow,yellow,0,0.342764626,0.24840681,No,1.760200355
yellow,blue,0,0.230393245,0.326890111,No,1.960883039
yellow,yellow,0,0.354664949,0.271139319,No,1.647497778
yellow,blue,0,0.236713293,0.308351872,No,2.135484081
yellow,blue,0,0.374538217,0.305506915,Yes,2.368869738
blue,yellow,0,0.285436643,0.354902268,No,2.410265652
blue,yellow,0,0.502318087,0.447884567,No,1.663444955
blue,yellow,0,0.394679637,0.43445444,No,1.77009104
blue,blue,0,0.340297725,0.287306691,No,2.047727864
yellow,blue,0,0.400675574,0.306899955,No,1.904944323
blue,yellow,0,0.328373333,0.272216081,No,2.23324423
blue,yellow,0,0.301708319,0.362387912,No,1.977386133
blue,yellow,0,0.397558662,0.459229409,No,1.875848753
yellow,yellow,0,0.305143537,0.273029404,No,2.199851124
blue,blue,0,0.374838696,0.422962723,No,2.061332131
yellow,yellow,0,0.454301264,0.271784425,No,1.823233605
yellow,yellow,0,0.2964549,0.276828848,No,1.917800569
yellow,yellow,0,0.411910528,0.260570916,No,1.916384279
yellow,yellow,0,0.261207637,0.30156819,No,1.816164178
yellow,blue,0,0.246364877,0.330185089,No,1.99220169
blue,blue,0,0.331702189,0.27312719,No,1.884283799
yellow,blue,0,0.331655849,0.306398279,No,1.873547725
yellow,yellow,0,0.350640529,0.253347134,No,2.002340096
yellow,yellow,0,0.297397391,0.258246413,No,2.090533392
yellow,yellow,0,0.242952923,0.266215926,No,2.285785984
blue,blue,0,0.321618831,0.302769268,No,1.958283938
blue,yellow,0,0.469836247,0.20612343,No,2.232918118
blue,blue,0,0.329916708,0.312879421,No,1.663759744
yellow,yellow,0,0.390441028,0.311251098,No,2.224898588
blue,blue,0,0.327577188,0.258053797,No,2.221033502
blue,yellow,0,0.315751599,0.277144819,No,2.130838871
blue,blue,0,0.385711338,0.261237517,No,2.288723257
yellow,yellow,0,0.341055878,0.409614382,No,1.900393711
blue,blue,0,0.410987646,0.254966519,No,2.267827459
yellow,blue,0,0.30046813,0.330245571,No,1.793778003
blue,yellow,0,0.294351441,0.298772455,No,2.083978487
blue,yellow,0,0.360140144,0.315795848,No,2.123741365
blue,yellow,0,0.381576479,0.371752026,No,1.894659022
yellow,yellow,0,0.301682154,0.313018931,No,2.098813137
yellow,blue,0,0.271451732,0.34986507,No,2.156543199
blue,blue,0,0.211549625,0.435065379,No,1.968777997
blue,blue,0,0.249364545,0.286491022,No,1.618655704
blue,blue,0,0.291402317,0.261433739,No,2.347878236
blue,blue,0,0.2520278,0.342978884,No,2.027019556
blue,yellow,0,0.337198847,0.255747399,No,2.018994775
blue,blue,0,0.607743776,0.301913629,No,1.621552397
yellow,blue,0,0.358890001,0.33841719,No,1.775689217
blue,blue,0,0.380656117,0.288128183,No,2.135786779
yellow,yellow,0,0.460290467,0.558655665,No,1.638631792
blue,yellow,0,0.425031161,0.470830203,No,1.89934765
blue,yellow,0,0.336199753,0.309514319,No,1.976838062
yellow,yellow,0,0.456415245,0.46333301,No,1.65229147
