Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 0, 0]",2,0,1.872120395,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.283754925,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.338427143,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.372151749,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.31071507,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.301037304,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.303810019,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.321593433,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.243926374,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.284005813,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.285735228,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.330941781,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.290707686,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.365160094,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.344758974,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.379245542,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.307126916,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.297853346,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.270826481,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.472943886,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.41900892,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.368699105,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.546582492,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.508774439,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.291096612,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.407622151,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.271858913,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.245104687,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.313285215,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.294561242,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.40696224,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.250885391,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.315642186,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.264124128,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.27469093,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.41691971,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.398493135,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.392311889,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.240364328,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.410474943,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.365744027,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.343076678,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.359951428,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.309365758,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",0,0,0.320048372,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",0,0,0.377595312,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.295624423,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.299995065,1,C,1,8,RY,BLACK,Green Circle
"[255, 0, 0]",2,0,0.306053243,1,C,1,8,RY,BLACK,Green Circle
"[255, 255, 0]",2,0,0.335122756,1,C,1,8,RY,BLACK,Green Circle
