Color,Direction,Eccentricity (degrees),Reaction Time (s),Correctness,Name,Trial,Circle Size (degrees),Experiment Name,Background Color,Cue
"[255, 255, 0]",2,0,0.711958817,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",2,0,0.28845661,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.313994406,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.333978682,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.332073652,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",2,0,0.277476437,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.393802496,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.426198292,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.321718073,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.338824893,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",2,0,0.273877437,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.282875967,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",2,0,0.311616928,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.326874687,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.291214855,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.382082223,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.289673732,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.41541155,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.351106884,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.582354552,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.393274972,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.395866577,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.316812672,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.35996361,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.497351463,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.416705067,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.331564243,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.341798548,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.222876148,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.313165985,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",2,0,0.387035783,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.28681246,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.292010164,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",2,0,0.340713982,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.304477182,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.414434818,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.313288469,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",0,0,0.292745129,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.314283458,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.365468535,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",2,0,0.280102,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",2,0,0.349637961,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.315567659,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.255711571,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.323167671,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.263349834,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.326056784,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",0,0,0.323886436,1,C,1,8,YR,BLACK,Green Circle
"[255, 255, 0]",2,0,0.289157862,1,C,1,8,YR,BLACK,Green Circle
"[255, 0, 0]",2,0,0.356722887,1,C,1,8,YR,BLACK,Green Circle
